Name/username             Host                                    Dyn Forcerport ACL Port     Status     
1911/1911                 172.16.1.177                             D                 5060     OK (7 ms)  
1912/1912                 172.16.9.8                               D                 5060     OK (9 ms)  
1913/1913                 172.16.1.13                              D                 5060     OK (7 ms)  
1914/1914                 172.16.11.42                             D                 5060     OK (9 ms)  
1915                      (Unspecified)                            D                 0        UNKNOWN    
1916/1916                 172.16.2.12                              D                 5060     OK (10 ms) 
1917/1917                 172.16.2.17                              D                 5060     OK (10 ms) 
1918/1918                 172.16.2.10                              D                 5060     OK (11 ms) 
1919/1919                 172.16.2.18                              D                 5060     OK (10 ms) 
1920/1920                 172.16.2.9                               D                 5060     OK (10 ms) 
1921/1921                 172.16.2.13                              D                 5060     OK (10 ms) 
1922/1922                 172.16.2.16                              D                 5060     OK (11 ms) 
1923/1923                 172.16.2.15                              D                 5060     OK (11 ms) 
1924/1924                 172.16.2.11                              D                 5060     OK (11 ms) 
1925/1925                 172.16.1.20                              D                 5060     OK (7 ms)  
1926/1926                 172.16.1.27                              D                 5060     OK (7 ms)  
1927/1927                 172.16.2.8                               D                 5060     OK (11 ms) 
1928/1928                 172.16.2.5                               D                 5060     OK (10 ms) 
1929/1929                 172.16.2.30                              D                 5060     OK (10 ms) 
1930/1930                 172.16.2.31                              D                 5060     OK (10 ms) 
1950/1950                 192.168.11.9                             D                 8408     OK (113 ms) 
2001/2001                 172.16.20.3                              D                 5060     OK (21 ms) 
2002/2002                 172.16.20.4                              D                 5060     OK (21 ms) 
4x4                       172.16.4.200                                 N             5060     OK (3 ms)  
callcenter                10.200.150.177                               N             5060     OK (1 ms)  
324 sip peers [Monitored: 304 online, 20 offline Unmonitored: 0 online, 0 offline]
